FRR	FAR
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.240
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.049	0.246
0.046	0.246
0.046	0.246
0.046	0.246
0.046	0.246
0.046	0.246
0.046	0.246
0.046	0.246
0.046	0.246
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
